market,date,sierra_width,databento_width,absolute_difference,sierra_eligible_4_120,databento_eligible_4_120,classification_disagreement
ES,2023-04-28,13.75,13.75,0.0,True,True,False
ES,2023-05-01,13.25,13.25,0.0,True,True,False
ES,2023-05-02,12.25,12.25,0.0,True,True,False
ES,2023-05-03,14.5,14.5,0.0,True,True,False
ES,2023-05-04,24.5,24.5,0.0,True,True,False
ES,2023-05-05,17.25,17.25,0.0,True,True,False
ES,2023-05-08,12.5,12.5,0.0,True,True,False
ES,2023-05-09,10.0,10.0,0.0,True,True,False
ES,2023-05-10,31.0,31.0,0.0,True,True,False
ES,2023-05-11,19.75,19.75,0.0,True,True,False
ES,2023-05-12,11.5,11.5,0.0,True,True,False
ES,2023-05-15,15.75,15.75,0.0,True,True,False
ES,2023-05-16,15.5,15.5,0.0,True,True,False
ES,2023-05-17,18.25,18.25,0.0,True,True,False
ES,2023-05-18,8.25,8.25,0.0,True,True,False
ES,2023-05-19,9.5,9.5,0.0,True,True,False
ES,2023-05-22,17.5,17.5,0.0,True,True,False
ES,2023-05-23,12.25,12.25,0.0,True,True,False
ES,2023-05-24,15.0,15.0,0.0,True,True,False
ES,2023-05-25,22.5,22.5,0.0,True,True,False
ES,2023-05-26,22.0,22.0,0.0,True,True,False
ES,2023-05-30,15.25,15.25,0.0,True,True,False
ES,2023-05-31,12.0,12.0,0.0,True,True,False
ES,2023-06-01,15.0,15.0,0.0,True,True,False
ES,2023-06-02,20.75,20.75,0.0,True,True,False
ES,2023-06-05,12.75,12.75,0.0,True,True,False
ES,2023-06-06,8.5,8.5,0.0,True,True,False
ES,2023-06-07,13.0,13.0,0.0,True,True,False
ES,2023-06-08,13.0,13.0,0.0,True,True,False
ES,2023-06-09,14.0,14.0,0.0,True,True,False
ES,2023-06-12,9.25,9.25,0.0,True,True,False
ES,2023-06-13,21.75,21.75,0.0,True,True,False
ES,2023-06-14,12.25,12.25,0.0,True,True,False
ES,2023-06-15,27.0,27.0,0.0,True,True,False
ES,2023-06-16,24.5,24.5,0.0,True,True,False
ES,2023-06-20,11.25,11.25,0.0,True,True,False
ES,2023-06-21,14.0,14.0,0.0,True,True,False
ES,2023-06-22,15.75,15.75,0.0,True,True,False
ES,2023-06-23,9.0,9.0,0.0,True,True,False
ES,2023-06-26,18.75,18.75,0.0,True,True,False
ES,2023-06-27,11.25,11.25,0.0,True,True,False
ES,2023-06-28,9.25,9.25,0.0,True,True,False
ES,2023-06-29,14.25,14.25,0.0,True,True,False
ES,2023-06-30,15.75,15.75,0.0,True,True,False
ES,2023-07-05,14.75,14.75,0.0,True,True,False
ES,2023-07-06,16.5,16.5,0.0,True,True,False
ES,2023-07-07,17.25,17.25,0.0,True,True,False
ES,2023-07-10,13.25,13.25,0.0,True,True,False
ES,2023-07-11,14.5,14.5,0.0,True,True,False
ES,2023-07-12,12.5,12.5,0.0,True,True,False
ES,2023-07-13,11.0,11.0,0.0,True,True,False
ES,2023-07-14,7.75,7.75,0.0,True,True,False
ES,2023-07-17,7.5,7.5,0.0,True,True,False
ES,2023-07-18,16.5,16.5,0.0,True,True,False
ES,2023-07-19,11.5,11.5,0.0,True,True,False
ES,2023-07-20,11.0,11.0,0.0,True,True,False
ES,2023-07-21,15.0,15.0,0.0,True,True,False
ES,2023-07-24,17.75,17.75,0.0,True,True,False
ES,2023-07-25,13.0,13.0,0.0,True,True,False
ES,2023-07-26,7.25,7.25,0.0,True,True,False
ES,2023-07-27,8.0,8.0,0.0,True,True,False
ES,2023-07-28,14.75,14.75,0.0,True,True,False
ES,2023-07-31,17.5,17.5,0.0,True,True,False
ES,2023-08-01,9.0,9.0,0.0,True,True,False
ES,2023-08-02,11.75,11.75,0.0,True,True,False
ES,2023-08-03,14.0,14.0,0.0,True,True,False
ES,2023-08-04,18.0,18.0,0.0,True,True,False
ES,2023-08-07,14.25,14.25,0.0,True,True,False
ES,2023-08-08,21.25,21.25,0.0,True,True,False
ES,2023-08-09,12.25,12.25,0.0,True,True,False
ES,2023-08-10,33.0,33.0,0.0,True,True,False
ES,2023-08-11,13.25,13.25,0.0,True,True,False
ES,2023-08-14,9.5,9.5,0.0,True,True,False
ES,2023-08-15,16.75,16.75,0.0,True,True,False
ES,2023-08-16,18.25,18.25,0.0,True,True,False
ES,2023-08-17,16.0,16.0,0.0,True,True,False
ES,2023-08-18,22.75,22.75,0.0,True,True,False
ES,2023-08-21,14.0,14.0,0.0,True,True,False
ES,2023-08-22,16.75,16.75,0.0,True,True,False
ES,2023-08-23,15.25,15.25,0.0,True,True,False
ES,2023-08-24,16.0,16.0,0.0,True,True,False
ES,2023-08-25,9.75,9.75,0.0,True,True,False
ES,2023-08-28,14.5,14.5,0.0,True,True,False
ES,2023-08-29,18.25,18.25,0.0,True,True,False
ES,2023-08-30,19.0,19.0,0.0,True,True,False
ES,2023-08-31,12.0,12.0,0.0,True,True,False
ES,2023-09-01,25.75,25.75,0.0,True,True,False
ES,2023-09-05,15.75,15.75,0.0,True,True,False
ES,2023-09-06,11.25,11.25,0.0,True,True,False
ES,2023-09-07,16.25,16.25,0.0,True,True,False
ES,2023-09-08,13.25,13.25,0.0,True,True,False
ES,2023-09-11,18.5,18.5,0.0,True,True,False
ES,2023-09-12,10.75,10.75,0.0,True,True,False
ES,2023-09-13,13.0,13.0,0.0,True,True,False
ES,2023-09-14,13.25,13.25,0.0,True,True,False
ES,2023-09-15,15.5,15.5,0.0,True,True,False
ES,2023-09-18,12.25,12.25,0.0,True,True,False
ES,2023-09-19,11.25,11.25,0.0,True,True,False
ES,2023-09-20,10.0,10.0,0.0,True,True,False
ES,2023-09-21,18.5,18.5,0.0,True,True,False
ES,2023-09-22,10.25,10.25,0.0,True,True,False
ES,2023-09-25,20.75,20.75,0.0,True,True,False
ES,2023-09-26,13.0,13.0,0.0,True,True,False
ES,2023-09-27,10.5,10.5,0.0,True,True,False
ES,2023-09-28,19.25,19.25,0.0,True,True,False
ES,2023-09-29,13.25,13.25,0.0,True,True,False
ES,2023-10-02,16.0,16.0,0.0,True,True,False
ES,2023-10-03,18.25,18.25,0.0,True,True,False
ES,2023-10-04,15.0,15.0,0.0,True,True,False
ES,2023-10-05,19.75,19.75,0.0,True,True,False
ES,2023-10-06,20.5,20.5,0.0,True,True,False
ES,2023-10-09,17.5,17.5,0.0,True,True,False
ES,2023-10-10,11.25,11.25,0.0,True,True,False
ES,2023-10-11,12.0,12.0,0.0,True,True,False
ES,2023-10-12,20.0,20.0,0.0,True,True,False
ES,2023-10-13,13.75,13.75,0.0,True,True,False
ES,2023-10-16,12.25,12.25,0.0,True,True,False
ES,2023-10-17,12.75,12.75,0.0,True,True,False
ES,2023-10-18,12.75,12.75,0.0,True,True,False
ES,2023-10-19,12.5,12.5,0.0,True,True,False
ES,2023-10-20,15.0,15.0,0.0,True,True,False
ES,2023-10-23,29.5,29.5,0.0,True,True,False
ES,2023-10-24,15.0,15.0,0.0,True,True,False
ES,2023-10-25,24.5,24.5,0.0,True,True,False
ES,2023-10-26,20.75,20.75,0.0,True,True,False
ES,2023-10-27,19.25,19.25,0.0,True,True,False
ES,2023-10-30,18.5,18.5,0.0,True,True,False
ES,2023-10-31,21.0,21.0,0.0,True,True,False
ES,2023-11-01,12.75,12.75,0.0,True,True,False
ES,2023-11-02,15.0,15.0,0.0,True,True,False
ES,2023-11-03,20.0,20.0,0.0,True,True,False
ES,2023-11-06,11.5,11.5,0.0,True,True,False
ES,2023-11-07,12.5,12.5,0.0,True,True,False
ES,2023-11-08,7.25,7.25,0.0,True,True,False
ES,2023-11-09,15.25,15.25,0.0,True,True,False
ES,2023-11-10,14.25,14.25,0.0,True,True,False
ES,2023-11-13,12.0,12.0,0.0,True,True,False
ES,2023-11-14,20.0,20.0,0.0,True,True,False
ES,2023-11-15,13.75,13.75,0.0,True,True,False
ES,2023-11-16,13.5,13.5,0.0,True,True,False
ES,2023-11-17,11.75,11.75,0.0,True,True,False
ES,2023-11-20,16.75,16.75,0.0,True,True,False
ES,2023-11-21,6.5,6.5,0.0,True,True,False
ES,2023-11-22,21.0,21.0,0.0,True,True,False
ES,2023-11-27,11.75,11.75,0.0,True,True,False
ES,2023-11-28,7.5,7.5,0.0,True,True,False
ES,2023-11-29,13.5,13.5,0.0,True,True,False
ES,2023-11-30,16.0,16.0,0.0,True,True,False
ES,2023-12-01,10.75,10.75,0.0,True,True,False
ES,2023-12-04,13.5,13.5,0.0,True,True,False
ES,2023-12-05,9.25,9.25,0.0,True,True,False
